# File: ModelUsed.dat
# Creation time: 2026-03-02T14:35:42.613  +0100
#
# Inner population model.
# Version OSSOS 1.0, 2026-02-25
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 14.00
# Parameters for q distribution:  40.00  1.00 35.00  1.00
# Parameters for a distribution:   -2.50  37.70  39.00
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  37.9594   0.0633  26.8482 351.3236 199.8583 310.4188   7.86 2453157.50000   36.4949    inner_
  38.7347   0.0068  38.8657 132.6554  28.8223  33.9313   8.28 2453157.50000   38.5180    inner_
  38.6267   0.0323  26.0250 161.7791 119.8529 150.4653   8.15 2453157.50000   39.7204    inner_
  38.1498   0.0468  32.4480  67.7280 201.4161 160.1247   8.25 2453157.50000   39.8363    inner_
  38.3838   0.0665  22.8324  80.1336  23.2367 308.5944   8.38 2453157.50000   36.9027    inner_
  37.7084   0.0775  29.6053  59.9505 192.1252 144.9916   7.88 2453157.50000   40.1712    inner_
  38.7256   0.0616  23.2856 223.2737 242.0251 326.6214   8.52 2453157.50000   36.7809    inner_
  38.9316   0.0403  18.9048 294.1133   2.0895 211.2928   8.47 2453157.50000   40.2902    inner_
  37.8390   0.0146  32.8363  90.1064 281.2674 185.4316   7.00 2453157.50000   38.3904    inner_
  38.5643   0.0176  28.7946 141.7577 353.9590 207.1559   8.19 2453157.50000   39.1698    inner_
  38.5795   0.0514  24.5796 150.9036  28.8513 158.3002   8.60 2453157.50000   40.4351    inner_
  38.8273   0.0393   7.3942 184.7651 130.4334 134.5845   8.13 2453157.50000   39.9280    inner_
  38.6823   0.0416  26.6714 115.9268  40.0596 339.7153   8.53 2453157.50000   37.1815    inner_
  37.9581   0.0203  30.9404 125.7586  21.0172 275.8962   8.14 2453157.50000   37.8943    inner_
  38.6182   0.0705  30.6956 292.0478 263.5356 206.8818   8.36 2453157.50000   41.0826    inner_
  38.6668   0.0260  39.3652  52.4299 200.9573 291.9522   8.17 2453157.50000   38.3140    inner_
  38.1925   0.0938  28.1284 337.1437 244.8173 126.0789   8.42 2453157.50000   40.5049    inner_
  38.3466   0.0523  20.0023 305.8057 195.3047  36.5326   7.88 2453157.50000   36.7737    inner_
  38.4181   0.0822  24.4965 170.3174 262.4781 112.0714   8.56 2453157.50000   39.8168    inner_
  38.8452   0.0011   3.7595 107.5356  46.2709  10.4053   8.37 2453157.50000   38.8026    inner_
  38.7587   0.0133  24.9533 248.1111 248.7124  90.7356   8.30 2453157.50000   38.7721    inner_
  38.8376   0.0493  34.2042 299.2184  29.6843 199.5185   8.48 2453157.50000   40.6507    inner_
  38.8224   0.0516   7.3222 171.9246 323.5454 162.5897   7.44 2453157.50000   40.7431    inner_
  38.5597   0.0122  29.6556  55.5066 102.8622  49.4274   8.60 2453157.50000   38.2582    inner_
  38.5779   0.1385  24.0258 114.1130 241.3510 205.6160   7.37 2453157.50000   43.5108    inner_
  37.9811   0.0116  24.7235 210.1534 310.4904 299.1536   4.97 2453157.50000   37.7699    inner_
  38.5915   0.0729  21.6490 236.7206   5.3896 175.7989   8.22 2453157.50000   41.3965    inner_
  38.5384   0.0032   2.7015 178.6041 147.1428 175.1417   8.55 2453157.50000   38.6619    inner_
  38.7870   0.0908  24.1265  64.4175  68.7748  18.5854   8.19 2453157.50000   35.4866    inner_
  38.4477   0.0255   6.5236 190.8847 176.0424 328.0986   8.31 2453157.50000   37.6218    inner_
  38.8081   0.0479  22.6897 239.6923 193.5256 358.2470   8.37 2453157.50000   36.9488    inner_
  37.9117   0.0055  23.6522 306.9770 265.9171 229.6892   6.95 2453157.50000   38.0466    inner_
