# File: ModelUsed.dat
# Creation time: 2026-03-02T14:35:42.613  +0100
#
# Inner population model.
# Version OSSOS 1.0, 2026-02-25
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 14.00
# Parameters for q distribution:  40.00  1.00 35.00  1.00
# Parameters for a distribution:   -2.50  37.70  39.00
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  37.8254   0.0301  23.6588 123.9865  64.9980   2.8390   8.46 2453157.50000   36.6883    inner_
  38.7562   0.0054  25.3672 200.0156 113.7005 348.5427   7.23 2453157.50000   38.5495    inner_
  38.9102   0.0241   2.7647 112.6245 324.9443  30.6203   5.93 2453157.50000   38.1097    inner_
  38.7255   0.1437  26.6911  98.5601 285.2659 160.2322   8.40 2453157.50000   44.0388    inner_
  38.8943   0.1038  20.7593 242.4380  71.0416 184.5118   8.28 2453157.50000   42.9199    inner_
  37.9727   0.0249  23.2054  67.0269  19.7948 180.1900   7.46 2453157.50000   38.9188    inner_
  38.4177   0.0164  32.7328  71.3620 143.3217 321.2149   8.14 2453157.50000   37.9298    inner_
  38.1175   0.0082  21.4492  44.0480 249.0712 133.9486   7.05 2453157.50000   38.3351    inner_
  37.7871   0.0130   2.5501  67.5544 277.3329  83.9888   8.39 2453157.50000   37.7419    inner_
  38.1957   0.0305   6.7676 111.2844 190.7460 229.7718   8.56 2453157.50000   38.9678    inner_
  38.5076   0.0661  29.9822 314.3450  36.2147 193.8650   7.73 2453157.50000   40.9893    inner_
  38.0392   0.0176  28.5480 205.4702 178.9286 191.7709   8.49 2453157.50000   38.6944    inner_
  37.7683   0.0020   7.5218  96.8205 193.6750  67.5290   7.50 2453157.50000   37.7398    inner_
  38.2605   0.0411  23.9030  43.3287  35.8136   7.0059   8.13 2453157.50000   36.7012    inner_
  37.8590   0.0777  25.3321  50.8521 185.3818  40.0882   8.27 2453157.50000   35.7134    inner_
  38.3872   0.0146   8.0901 108.9383 259.3896 269.2375   7.61 2453157.50000   38.4029    inner_
  38.9957   0.0757  25.5212  26.1575 359.9065 280.3606   7.95 2453157.50000   38.6847    inner_
  38.1976   0.0585  39.4042 145.4586 245.5267 318.5011   8.11 2453157.50000   36.5853    inner_
  38.9236   0.0984  40.6975 336.5555 259.8473 155.9828   8.08 2453157.50000   42.4758    inner_
  38.1007   0.0350  33.0105   7.9421 159.5344   8.3011   7.21 2453157.50000   36.7822    inner_
  38.2747   0.0323  27.8609 156.0378 296.6324 242.2866   8.59 2453157.50000   38.8794    inner_
  38.1479   0.0142  29.0417  28.9090 274.1214 221.6235   8.47 2453157.50000   38.5562    inner_
  37.8637   0.0524   5.7905  49.0310 115.8252  29.7061   8.44 2453157.50000   36.1684    inner_
  38.7842   0.0426  26.6120 310.1528 270.2900 356.0832   8.36 2453157.50000   37.1349    inner_
  38.9298   0.0977  22.6662 327.9971  44.4022 313.1418   8.23 2453157.50000   36.5467    inner_
  38.2189   0.0259  35.1944 106.2533  54.2916 105.4080   8.06 2453157.50000   38.5054    inner_
  38.4219   0.0107  21.4302 202.9185 147.3205  38.7482   8.60 2453157.50000   38.1018    inner_
  38.8693   0.0808  21.2809 292.3951 259.1080 110.7025   8.54 2453157.50000   40.1913    inner_
  38.1013   0.0659  28.2027 231.0937 173.7177 322.2603   8.12 2453157.50000   36.1833    inner_
  38.8892   0.0502   3.6248  78.2014  85.3017  11.9281   8.56 2453157.50000   36.9825    inner_
  38.7612   0.0753  27.2516 336.5418 333.6089 140.2982   8.57 2453157.50000   41.0887    inner_
  37.8328   0.0977  24.8914  16.7214 124.7764 302.1790   8.00 2453157.50000   36.1431    inner_
  38.8490   0.0109   7.7871 123.5144  71.4129 263.7528   7.94 2453157.50000   38.8997    inner_
  38.2711   0.1213  26.9230  77.1498  37.6844 329.7017   8.36 2453157.50000   34.4316    inner_
  37.9521   0.1079  23.6466 245.3920  80.1486 221.6049   8.64 2453157.50000   41.1879    inner_
  38.6548   0.1065  22.4977  62.4026   5.8150 154.6622   7.11 2453157.50000   42.4454    inner_
  38.9466   0.0417  32.4219  59.7817  12.2973 293.4329   8.49 2453157.50000   38.3589    inner_
  38.1190   0.0060  26.4557 335.4504 261.8980 286.1891   8.64 2453157.50000   38.0561    inner_
  38.1916   0.0133  24.1306 204.6289 125.8064  70.8195   8.46 2453157.50000   38.0303    inner_
  37.9091   0.0171  21.9120 145.4728 135.1746 321.8771   7.17 2453157.50000   37.4035    inner_
  38.5761   0.0092  20.1044  30.8472 183.1011   1.3782   7.43 2453157.50000   38.2195    inner_
  38.8729   0.0273   3.8988 130.7632 294.8753 196.7046   8.31 2453157.50000   39.8902    inner_
  38.2270   0.0173  29.1491 227.7260 302.4112 213.0242   8.07 2453157.50000   38.7833    inner_
  37.8688   0.0719  21.5962 356.7558  94.6365   8.8379   7.64 2453157.50000   35.1850    inner_
  38.2400   0.1255  27.4649  38.6621 293.8285  89.4845   8.00 2453157.50000   38.7937    inner_
  38.6400   0.0670  23.0563  10.3948  99.3055 147.6944   7.99 2453157.50000   40.8748    inner_
  38.2969   0.0355  21.6885 252.5085 154.0149 294.1135   8.65 2453157.50000   37.7819    inner_
  38.5944   0.0183  25.6665 169.8378 147.5913  82.4811   7.76 2453157.50000   38.5148    inner_
  38.5419   0.0528  40.6668 357.8744   5.4178 330.7267   8.57 2453157.50000   36.7956    inner_
  38.1103   0.0553  29.8731 324.3575  88.6153 222.1251   8.25 2453157.50000   39.7216    inner_
