# File: ModelUsed.dat
# Creation time: 2026-03-02T14:12:06.062  +0100
#
# Classical population model.
# Version OSSOS 1.0, 2026-02-24
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Debiased main belt model files:
#     Hot_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#     Cold_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#
# a_step:  0.10
# q_step:  0.10
#
# Hcut:   8.70
#
# Colors for cold:  0.90  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Fractions of (cold, low-a): 0.169; (cold, high-a): 0.175; hot: 0.602; kernel: 0.054
#
# Parameters for hot inclination distribution:   0.00 16.50
# Parameters for cold inclination distribution:   4.90  0.70
# Parameters for warm inclination distribution:  12.00  0.50
#
# Cold, low-a H-dist. parameter:    8.66  1.00  0.40  8.66
# Cold, high-a H-dist. parameter:   8.66  1.00  0.40  8.66
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
# Kernel H-dist. parameter:         8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  45.1901   0.0638   6.3918   4.0456 145.6777  81.9547   8.14 2453157.50000   44.9689 coldh_   
  43.3659   0.1041  18.7197 298.8980 228.4436 256.4021   8.08 2453157.50000   44.8519   hot_   
  46.0488   0.2391   8.9397 216.5486 270.7575 235.0701   8.25 2453157.50000   53.7894   hot_   
  44.1332   0.0719   3.1091 335.2372 288.6519 300.5234   8.40 2453157.50000   42.7009 kernel_  
  44.7646   0.0956  19.9381 210.7493 246.6789 122.1417   7.36 2453157.50000   47.3126   hot_   
  44.9971   0.0352   9.2686 349.1085 170.0484 214.5424   8.46 2453157.50000   46.3176 coldh_   
  42.9635   0.1172   9.7524 343.5325  43.8366 287.8728   8.57 2453157.50000   41.9779   hot_   
  42.4227   0.0775  32.0667 192.5755 110.6953 240.1430   7.64 2453157.50000   44.2399   hot_   
  46.6974   0.1995  34.9986 132.4541  28.9258  33.9313   8.28 2453157.50000   39.7201   hot_   
  46.3721   0.1770  17.5597 216.1121 155.1990 230.3680   7.46 2453157.50000   52.3364   hot_   
  46.9356   0.1576  19.1043 310.9831 158.1956 251.6316   8.57 2453157.50000   50.2297   hot_   
  43.0669   0.1550   4.9422 205.3009 331.6972 279.9891   8.55 2453157.50000   42.9378   hot_   
  43.8128   0.0840   2.3070 204.0583 305.7900 286.5342   8.22 2453157.50000   43.0586 kernel_  
  46.4321   0.2254  34.1165 350.7953 339.3226 226.9266   7.50 2453157.50000   54.5853   hot_   
  44.1005   0.1483  34.8535 329.5498  21.6530 341.4663   7.28 2453157.50000   38.0211   hot_   
  44.2264   0.0519  31.8900  21.7271 178.9007  34.7735   8.39 2453157.50000   42.3830   hot_   
  44.1758   0.0771   3.4818 109.6148  45.9742 158.3002   8.60 2453157.50000   47.3739 kernel_  
  43.7183   0.0758   5.1043 102.4205 323.0193 221.8202   7.31 2453157.50000   46.2897 coldl_   
  41.6333   0.1440  27.6287 310.6672 296.5143   6.3230   8.47 2453157.50000   35.6871   hot_   
  44.4895   0.0937   4.1097  99.9014  27.7472 275.8962   8.12 2453157.50000   44.4511 coldl_   
  47.0369   0.1710  24.6684 344.7294 180.9292 263.7547   7.87 2453157.50000   49.2107   hot_   
  47.4752   0.1370  17.3501 310.2122 289.8677 219.6889   8.54 2453157.50000   52.7928   hot_   
  43.5108   0.1388  21.8622 228.1548  69.1633 253.3701   8.40 2453157.50000   45.9581   hot_   
  43.5308   0.0684  18.7295 301.8053  32.4959  43.2782   7.23 2453157.50000   41.4662   hot_   
  47.3259   0.1828  21.9199  62.8955  59.4862 259.0008   7.60 2453157.50000   50.3956   hot_   
  45.4257   0.0984   2.0829  89.7061 223.9791 269.0988   8.57 2453157.50000   45.9322 coldh_   
  44.5832   0.0718   6.6627 222.1393 255.6753  90.7356   8.29 2453157.50000   44.8530 coldh_   
  43.8784   0.0818   0.5681 314.5784 352.7146 199.5185   8.47 2453157.50000   47.2919 kernel_  
  44.2504   0.0550   1.3324  93.6947 272.4295 126.0834   8.57 2453157.50000   45.7682 coldl_   
  45.6802   0.1486  32.1717 155.0163 195.4299 111.7865   7.85 2453157.50000   48.9940   hot_   
  45.2196   0.0630   7.4511 129.6094  10.7995 241.2548   6.13 2453157.50000   46.7201 coldh_   
  42.8597   0.1488  13.4311  83.5373 104.0974 306.7662   8.38 2453157.50000   39.7348   hot_   
  43.5736   0.1470  12.2356 211.6113   8.4871 175.7989   8.22 2453157.50000   49.9646   hot_   
  42.9003   0.1174  33.2622 177.4466 100.4404 175.1417   8.55 2453157.50000   47.9207   hot_   
  46.5196   0.2014  33.3031 125.3583  23.7135 210.7759   7.62 2453157.50000   54.9578   hot_   
  45.1144   0.1368  35.3920  26.7828 306.0228 192.0291   7.97 2453157.50000   51.1789   hot_   
  43.3529   0.0335  17.8489 186.9281 109.0107 290.9326   7.61 2453157.50000   42.8769   hot_   
  45.9060   0.1057   8.4213  99.8284 146.3597  52.1407   8.33 2453157.50000   43.2802 coldh_   
  46.9030   0.1664  31.7321  62.8872 353.9948 171.5130   8.46 2453157.50000   54.6464   hot_   
  41.2082   0.0615  14.8243 329.7693 168.5195  76.1646   7.02 2453157.50000   40.7521   hot_   
  40.2204   0.0349  26.6614 149.4391  14.7580 222.8581   8.50 2453157.50000   41.2703   hot_   
  46.5273   0.1651  16.8818   1.1168 274.0672 284.3328   8.56 2453157.50000   45.8701   hot_   
  45.0840   0.0140   2.9652 147.6086  64.8369 226.7470   7.74 2453157.50000   45.5226 coldh_   
  44.4264   0.0334   3.7935 134.7484 225.5863 313.7789   6.43 2453157.50000   43.4257 coldl_   
  44.0164   0.0747   4.3028 308.4050 237.4944 229.2494   8.63 2453157.50000   46.2953   hot_   
  44.2824   0.0685   1.1934  36.0885  91.7468 341.1008   8.08 2453157.50000   41.4368 kernel_  
  43.0185   0.1074  21.2558  51.6278 229.3659 312.9310   8.54 2453157.50000   40.1682   hot_   
  46.1887   0.2278  28.6386  65.5571 315.0470 342.5758   8.50 2453157.50000   36.4626   hot_   
  44.5859   0.1046   1.7162  79.2818 256.2294 323.5405   7.83 2453157.50000   41.0310 coldh_   
  44.3154   0.0423  26.6847 348.8044 156.2241 240.2978   8.54 2453157.50000   45.3019   hot_   
  44.8686   0.0678   3.0371 357.7296 178.9784 299.9144   7.25 2453157.50000   43.5151 coldh_   
  47.3523   0.0241  20.5122  33.2659  28.5441 121.6121   8.02 2453157.50000   47.9710   hot_   
  46.1460   0.1906  19.2636 347.4705 237.6154 345.9278   8.57 2453157.50000   37.7510   hot_   
  47.3647   0.0178   6.9045 228.0270 334.8963 128.9648   8.61 2453157.50000   47.9032   hot_   
  46.1621   0.1918   8.8202  21.5916 338.5631 177.5263   8.39 2453157.50000   55.0111   hot_   
  41.7651   0.1105  26.5258 195.0335 252.2001 286.2922   8.51 2453157.50000   40.9590   hot_   
  41.2246   0.0823  15.9391 159.9770 332.2022 344.1004   6.48 2453157.50000   37.9840   hot_   
  42.9297   0.0781  10.2693  82.3691 242.7756 158.5271   6.80 2453157.50000   46.0822   hot_   
  46.2955   0.1420  28.8538 262.3550 216.3191 153.3328   8.45 2453157.50000   52.3284   hot_   
  42.4949   0.0931  15.2847 140.8902  41.0003 219.2015   7.48 2453157.50000   45.6924   hot_   
  45.9715   0.0764  17.1632  44.7594 345.2595   5.4272   8.40 2453157.50000   42.4798   hot_   
  45.5373   0.0684   9.8038 139.9421  26.9752 266.8990   7.87 2453157.50000   45.9165 coldh_   
  41.7907   0.0499   9.0445 213.4921 193.2808  67.2072   8.48 2453157.50000   41.0743   hot_   
  45.2597   0.1130   7.5414  17.7566 152.9400 108.1308   7.25 2453157.50000   47.3428 coldh_   
  46.8476   0.0591   1.5743 161.1547 171.9438 248.6160   7.14 2453157.50000   47.9934 coldh_   
  43.8431   0.1024  33.4931  43.6825 289.1867 179.5360   7.40 2453157.50000   48.3336   hot_   
  44.1625   0.0966   0.8981  99.6172 111.8066 178.8659   7.20 2453157.50000   48.4284 coldl_   
  44.7457   0.0568  10.5551  80.4266 249.9243 224.0032   7.60 2453157.50000   46.6402 coldh_   
  45.5983   0.1292   1.8923 359.4134 181.0132 321.4938   8.41 2453157.50000   41.3342 coldh_   
  44.8263   0.0449   6.7517  63.2627 214.1427   1.1358   7.81 2453157.50000   42.8135 coldh_   
  45.1749   0.0913   2.7393  71.9936 268.3256 118.9507   8.21 2453157.50000   47.4401 coldh_   
  41.4739   0.0143  36.5265  75.8280 224.2728 197.1529   8.65 2453157.50000   42.0420   hot_   
  44.6522   0.0824  15.6349  40.7190  47.8775  46.5494   7.45 2453157.50000   42.2956   hot_   
  43.8609   0.0616   1.1274  48.3697 208.9825 345.9325   8.26 2453157.50000   41.2504 kernel_  
  43.0539   0.0615  17.1653 216.4136  32.1164  32.5201   8.43 2453157.50000   40.8733   hot_   
  44.2040   0.0308   4.1828 174.5115 310.3091   3.6060   8.11 2453157.50000   42.8462 coldl_   
  41.1745   0.0937  22.6584   1.0381 199.7985 100.5101   7.43 2453157.50000   42.2178   hot_   
  44.7375   0.0558   7.4728  36.5064 355.7095 211.3924   8.51 2453157.50000   46.9049 coldh_   
  43.3094   0.0459   4.1698  12.3004 251.8630 145.1723   7.90 2453157.50000   44.9692 coldl_   
  44.0958   0.0840   1.6888  94.5034 274.5968 179.4144   8.61 2453157.50000   47.8013 kernel_  
  41.5484   0.0885  34.2799  92.2231 352.5628 314.3260   8.31 2453157.50000   39.1625   hot_   
  45.5308   0.0541   6.8336  82.0568 298.6845  39.4901   8.13 2453157.50000   43.6861 coldh_   
  41.8427   0.1523   7.2537 297.7963  17.0854 200.2449   8.29 2453157.50000   47.9188   hot_   
  45.0775   0.0983   5.3744 307.7277 159.1828 100.4997   8.62 2453157.50000   46.2934 coldh_   
  46.3619   0.1712   6.3221 203.0601 247.4517 351.4587   7.68 2453157.50000   38.5536   hot_   
  44.9376   0.1026  10.8032 127.9854  79.3538 260.5858   7.98 2453157.50000   46.1373 coldh_   
  43.2536   0.0286   3.8810 111.2865  76.7828 130.6042   8.29 2453157.50000   44.0799 coldl_   
  42.0336   0.0746  22.0491  17.4729 162.5808 296.1992   7.53 2453157.50000   40.8465   hot_   
  46.0312   0.1647  16.7314 191.2427 202.1480 147.4163   8.13 2453157.50000   52.7188   hot_   
  45.6629   0.1781  14.4354 250.3578  49.6505 109.2701   7.93 2453157.50000   49.5139   hot_   
  42.4447   0.0894  23.7459  59.7213 323.4976 239.1375   8.04 2453157.50000   44.6239   hot_   
  46.2915   0.1531  14.4875 281.5066 193.9880  34.1879   8.64 2453157.50000   40.8455   hot_   
  47.3203   0.1722  17.4578   0.8072 335.9001 329.6425   7.85 2453157.50000   40.7436   hot_   
  43.5938   0.0271   1.5639 105.7338  88.7630 197.6528   8.61 2453157.50000   44.7240 coldl_   
  41.3776   0.1111  36.3457 336.2205 103.8299 123.5333   7.90 2453157.50000   44.2398   hot_   
  42.1372   0.1387  15.3245 156.4567 330.5861  69.1631   8.14 2453157.50000   40.8129   hot_   
  45.1264   0.0425   3.6597 323.1976 271.1775  46.9418   7.06 2453157.50000   43.8636 coldh_   
  46.7468   0.1352  25.8379 205.0751 126.8347  60.0960   6.83 2453157.50000   44.3021   hot_   
  43.5503   0.0678   4.9941 106.4715 139.1585 245.8334   7.76 2453157.50000   44.9186 coldl_   
  44.8452   0.1563  15.3807 124.2373 166.3177 178.0540   8.64 2453157.50000   51.8535   hot_   
  44.6026   0.0864   5.4233 130.7725  67.8281 284.6695   8.47 2453157.50000   43.9473 coldh_   
  46.6892   0.1962  20.3344 344.8106 233.0379 160.4178   8.37 2453157.50000   55.4777   hot_   
  46.7375   0.1609  24.0427  41.8554 187.4690 277.6004   6.84 2453157.50000   46.9494   hot_   
  43.4120   0.0456   8.2550 342.1596 138.6037 162.3102   8.62 2453157.50000   45.3071   hot_   
  45.0823   0.1375  12.8581 241.6142  78.8758 352.0663   8.01 2453157.50000   38.9645   hot_   
  42.1518   0.0946  28.4109 225.6084 256.5882 119.7003   8.24 2453157.50000   44.3924   hot_   
  44.7129   0.0756   2.5596  73.9665 177.3329 116.1042   6.43 2453157.50000   46.3950 coldh_   
  40.9484   0.0342  20.1480 276.1717  50.4317 289.5058   7.47 2453157.50000   40.5241   hot_   
  43.2039   0.0268   1.8945  34.4357  77.5447 154.1584   8.55 2453157.50000   44.2505 coldl_   
  43.3241   0.0450  28.5955 339.5856 333.6436 349.6514   8.66 2453157.50000   41.4090   hot_   
  47.6667   0.1916   9.2707 224.8584 316.6531 338.0767   8.28 2453157.50000   39.5228   hot_   
  44.1653   0.0310   2.7456  47.3450  83.8192  32.9141   7.25 2453157.50000   43.0286 coldl_   
  43.0131   0.0103  10.8553  98.3424 212.4484 236.0007   6.83 2453157.50000   43.2637   hot_   
  46.6909   0.2009  12.2764 137.6533 238.7152 175.0778   8.37 2453157.50000   56.0464   hot_   
  45.4239   0.1298   7.1302 240.9361 140.5895  97.4825   7.69 2453157.50000   46.9185   hot_   
  43.6315   0.1011   8.1485 229.3931 286.1677   8.8913   7.49 2453157.50000   39.2840   hot_   
  45.2328   0.1079  25.1720  12.3321 257.1422 223.2948   8.41 2453157.50000   49.0040   hot_   
  46.8617   0.1758  20.2126 242.2618 135.2327   9.5461   7.39 2453157.50000   38.7900   hot_   
  42.9150   0.1455  37.0809 174.2780 161.4607  90.6938   7.32 2453157.50000   43.8839   hot_   
  44.2167   0.0475   3.5009  84.2037  76.0408  11.2924   8.28 2453157.50000   42.1629 coldl_   
  45.0506   0.0947   8.1188 196.9926  64.2989  80.5404   7.22 2453157.50000   44.7495 coldh_   
  46.2293   0.0631  28.0973 123.8132 195.2229 219.4383   8.59 2453157.50000   48.5511   hot_   
  43.9026   0.0835  12.7125 247.8233 170.3025  78.7108   8.39 2453157.50000   43.4853   hot_   
  46.2798   0.1610   5.2105 313.6766 203.2903  26.7650   7.97 2453157.50000   39.9342   hot_   
  42.1366   0.0813   9.9899 158.0870 272.9849 149.6054   7.90 2453157.50000   45.1566   hot_   
  46.2197   0.1503  26.3357  45.5801  66.0072 152.3962   7.53 2453157.50000   52.5614   hot_   
  42.2903   0.0331  13.4165 143.0577  64.8699 281.5530   8.52 2453157.50000   42.0552   hot_   
  43.3479   0.0564   3.6635  83.5718  94.5590 123.2500   7.89 2453157.50000   44.7813 coldl_   
  41.8296   0.0958  11.6934  48.6293  88.2257 202.0144   8.58 2453157.50000   45.5940   hot_   
  45.4970   0.0558   2.3890 134.5025 117.3874  39.4540   7.83 2453157.50000   43.5988 coldh_   
  43.5836   0.0516   1.8776 220.8377  75.2224 153.6627   8.53 2453157.50000   45.6192 coldl_   
  46.0890   0.0817   5.6034  62.6449 102.5413  79.9514   7.44 2453157.50000   45.7355 coldh_   
  45.1883   0.1819  25.9258  23.9421 248.8796 115.5448   7.47 2453157.50000   49.8060   hot_   
  42.9542   0.1176  33.4476 148.0442  95.2309 132.7768   8.64 2453157.50000   46.6681   hot_   
  43.3971   0.0312   5.4345 100.0708 134.2662 134.5144   8.61 2453157.50000   44.3681 coldl_   
  44.8349   0.0761  35.0545  63.9061 342.8658 238.2239   8.52 2453157.50000   46.8094   hot_   
  42.9527   0.0321   2.0650  59.0687 300.6345  64.1221   8.13 2453157.50000   42.3867 coldl_   
  43.2814   0.0531   4.1256 148.5372 137.1292 348.5427   7.21 2453157.50000   41.0329 coldl_   
  44.4775   0.1096   4.4501 108.2262 216.7337  62.9679   6.94 2453157.50000   42.7160 coldl_   
