# File: Cold_aq_density_v6.2.dat
# Creation time: 2023-04-17T17:23:48.000  +0200
#
# Based on marginalized debiasing from
# /home/petit/Research/OSSOS/data/Simulations/Bias-aq-i-H-v6.3-All_Surveys/Simulation-2023-04-14T16.30/All_Surveys_v12-free-cla_m.detections-full
#
# a_min = 39.5
# a_step = 0.1
# q_min = 34.5
# q_step = 0.1
#
# Bandwidth = 0.20
#
# Hcut =  8.7
#
#  a      q     dens
 42.91  39.31 0.006623
 42.91  39.41 0.010152
 42.91  39.51 0.013904
 42.91  39.61 0.017443
 42.91  39.71 0.020800
 42.91  39.81 0.024587
 42.91  39.91 0.029547
 42.91  40.01 0.035807
 42.91  40.11 0.042479
 42.91  40.21 0.048150
 42.91  40.31 0.052055
 42.91  40.41 0.054941
 42.91  40.51 0.058671
 42.91  40.61 0.064723
 42.91  40.71 0.072829
 42.91  40.81 0.081012
 42.91  40.91 0.086971
 42.91  41.01 0.089616
 42.91  41.11 0.089515
 42.91  41.21 0.088123
 42.91  41.31 0.086647
 42.91  41.41 0.085523
 42.91  41.51 0.084693
 42.91  41.61 0.084103
 42.91  41.71 0.083814
 42.91  41.81 0.083685
 42.91  41.91 0.083095
 42.91  42.01 0.081033
 42.91  42.11 0.076509
 42.91  42.21 0.069006
 42.91  42.31 0.058791
 42.91  42.41 0.046936
 42.91  42.51 0.034984
 42.91  42.61 0.024390
 42.91  42.71 0.016056
 42.91  42.81 0.010177
 43.01  39.01 0.000752
 43.01  39.11 0.001747
 43.01  39.21 0.003516
 43.01  39.31 0.006158
 43.01  39.41 0.009464
 43.01  39.51 0.012946
 43.01  39.61 0.016161
 43.01  39.71 0.019137
 43.01  39.81 0.022500
 43.01  39.91 0.027062
 43.01  40.01 0.033063
 43.01  40.11 0.039715
 43.01  40.21 0.045544
 43.01  40.31 0.049482
 43.01  40.41 0.051846
 43.01  40.51 0.054280
 43.01  40.61 0.058542
 43.01  40.71 0.065150
 43.01  40.81 0.073075
 43.01  40.91 0.080649
 43.01  41.01 0.086748
 43.01  41.11 0.091198
 43.01  41.21 0.094294
 43.01  41.31 0.096186
 43.01  41.41 0.096767
 43.01  41.51 0.096028
 43.01  41.61 0.094362
 43.01  41.71 0.092400
 43.01  41.81 0.090530
 43.01  41.91 0.088581
 43.01  42.01 0.085913
 43.01  42.11 0.081721
 43.01  42.21 0.075328
 43.01  42.31 0.066437
 43.01  42.41 0.055400
 43.01  42.51 0.043302
 43.01  42.61 0.031659
 43.01  42.71 0.021837
 43.01  42.81 0.014531
 43.01  42.91 0.009638
 43.11  39.01 0.000593
 43.11  39.11 0.001392
 43.11  39.21 0.002836
 43.11  39.31 0.005028
 43.11  39.41 0.007811
 43.11  39.51 0.010782
 43.11  39.61 0.013551
 43.11  39.71 0.016136
 43.11  39.81 0.019121
 43.11  39.91 0.023331
 43.11  40.01 0.029150
 43.11  40.11 0.035989
 43.11  40.21 0.042419
 43.11  40.31 0.047056
 43.11  40.41 0.049616
 43.11  40.51 0.051268
 43.11  40.61 0.053875
 43.11  40.71 0.058753
 43.11  40.81 0.065997
 43.11  40.91 0.074799
 43.11  41.01 0.084161
 43.11  41.11 0.093201
 43.11  41.21 0.100976
 43.11  41.31 0.106398
 43.11  41.41 0.108604
 43.11  41.51 0.107529
 43.11  41.61 0.104077
 43.11  41.71 0.099679
 43.11  41.81 0.095527
 43.11  41.91 0.092069
 43.11  42.01 0.089010
 43.11  42.11 0.085582
 43.11  42.21 0.080776
 43.11  42.31 0.073626
 43.11  42.41 0.063716
 43.11  42.51 0.051655
 43.11  42.61 0.039037
 43.11  42.71 0.027734
 43.11  42.81 0.019002
 43.11  42.91 0.013032
 43.11  43.01 0.009168
 43.21  39.01 0.000448
 43.21  39.11 0.001041
 43.21  39.21 0.002134
 43.21  39.31 0.003841
 43.21  39.41 0.006088
 43.21  39.51 0.008591
 43.21  39.61 0.011038
 43.21  39.71 0.013412
 43.21  39.81 0.016186
 43.21  39.91 0.020135
 43.21  40.01 0.025786
 43.21  40.11 0.032839
 43.21  40.21 0.040039
 43.21  40.31 0.045769
 43.21  40.41 0.049098
 43.21  40.51 0.050532
 43.21  40.61 0.051816
 43.21  40.71 0.054923
 43.21  40.81 0.061060
 43.21  40.91 0.070359
 43.21  41.01 0.082082
 43.21  41.11 0.094816
 43.21  41.21 0.106555
 43.21  41.31 0.115072
 43.21  41.41 0.118716
 43.21  41.51 0.117216
 43.21  41.61 0.111859
 43.21  41.71 0.104873
 43.21  41.81 0.098384
 43.21  41.91 0.093599
 43.21  42.01 0.090573
 43.21  42.11 0.088412
 43.21  42.21 0.085589
 43.21  42.31 0.080397
 43.21  42.41 0.071704
 43.21  42.51 0.059730
 43.21  42.61 0.046169
 43.21  42.71 0.033382
 43.21  42.81 0.023181
 43.21  42.91 0.016089
 43.21  43.01 0.011487
 43.21  43.11 0.008345
 43.31  39.01 0.000427
 43.31  39.11 0.000904
 43.31  39.21 0.001778
 43.31  39.31 0.003181
 43.31  39.41 0.005120
 43.31  39.51 0.007431
 43.31  39.61 0.009877
 43.31  39.71 0.012382
 43.31  39.81 0.015259
 43.31  39.91 0.019156
 43.31  40.01 0.024672
 43.31  40.11 0.031791
 43.31  40.21 0.039531
 43.31  40.31 0.046225
 43.31  40.41 0.050439
 43.31  40.51 0.052019
 43.31  40.61 0.052411
 43.31  40.71 0.053959
 43.31  40.81 0.058723
 43.31  40.91 0.067641
 43.31  41.01 0.080293
 43.31  41.11 0.095007
 43.31  41.21 0.109149
 43.31  41.31 0.119767
 43.31  41.41 0.124608
 43.31  41.51 0.123062
 43.31  41.61 0.116455
 43.31  41.71 0.107495
 43.31  41.81 0.099127
 43.31  41.91 0.093382
 43.31  42.01 0.090743
 43.31  42.11 0.090156
 43.31  42.21 0.089493
 43.31  42.31 0.086311
 43.31  42.41 0.078882
 43.31  42.51 0.067137
 43.31  42.61 0.052841
 43.31  42.71 0.038710
 43.31  42.81 0.027023
 43.31  42.91 0.018682
 43.31  43.01 0.013240
 43.31  43.11 0.009634
 43.31  43.21 0.006953
 43.41  39.01 0.000658
 43.41  39.11 0.001172
 43.41  39.21 0.002040
 43.41  39.31 0.003403
 43.41  39.41 0.005331
 43.41  39.51 0.007767
 43.41  39.61 0.010552
 43.41  39.71 0.013591
 43.41  39.81 0.017041
 43.41  39.91 0.021364
 43.41  40.01 0.027085
 43.41  40.11 0.034321
 43.41  40.21 0.042342
 43.41  40.31 0.049603
 43.41  40.41 0.054472
 43.41  40.51 0.056344
 43.41  40.61 0.056318
 43.41  40.71 0.056782
 43.41  40.81 0.060205
 43.41  40.91 0.067987
 43.41  41.01 0.079957
 43.41  41.11 0.094462
 43.41  41.21 0.108801
 43.41  41.31 0.119936
 43.41  41.41 0.125434
 43.41  41.51 0.124335
 43.41  41.61 0.117604
 43.41  41.71 0.107888
 43.41  41.81 0.098561
 43.41  41.91 0.092363
 43.41  42.01 0.090272
 43.41  42.11 0.091176
 43.41  42.21 0.092426
 43.41  42.31 0.090979
 43.41  42.41 0.084708
 43.41  42.51 0.073375
 43.41  42.61 0.058740
 43.41  42.71 0.043651
 43.41  42.81 0.030663
 43.41  42.91 0.021050
 43.41  43.01 0.014683
 43.41  43.11 0.010623
 43.41  43.21 0.007851
 43.41  43.31 0.005710
 43.51  39.01 0.001290
 43.51  39.11 0.002035
 43.51  39.21 0.003130
 43.51  39.31 0.004703
 43.51  39.41 0.006848
 43.51  39.51 0.009594
 43.51  39.61 0.012910
 43.51  39.71 0.016785
 43.51  39.81 0.021337
 43.51  39.91 0.026848
 43.51  40.01 0.033616
 43.51  40.11 0.041624
 43.51  40.21 0.050195
 43.51  40.31 0.057936
 43.51  40.41 0.063296
 43.51  40.51 0.065558
 43.51  40.61 0.065591
 43.51  40.71 0.065604
 43.51  40.81 0.068019
 43.51  40.91 0.074268
 43.51  41.01 0.084249
 43.51  41.11 0.096488
 43.51  41.21 0.108676
 43.51  41.31 0.118296
 43.51  41.41 0.123257
 43.51  41.51 0.122481
 43.51  41.61 0.116388
 43.51  41.71 0.107088
 43.51  41.81 0.097860
 43.51  41.91 0.091809
 43.51  42.01 0.090315
 43.51  42.11 0.092293
 43.51  42.21 0.094771
 43.51  42.31 0.094364
 43.51  42.41 0.088816
 43.51  42.51 0.077890
 43.51  42.61 0.063304
 43.51  42.71 0.047820
 43.51  42.81 0.034033
 43.51  42.91 0.023471
 43.51  43.01 0.016357
 43.51  43.11 0.011970
 43.51  43.21 0.009241
 43.51  43.31 0.007259
 43.51  43.41 0.005518
 43.61  39.01 0.002442
 43.61  39.11 0.003630
 43.61  39.21 0.005179
 43.61  39.31 0.007169
 43.61  39.41 0.009677
 43.61  39.51 0.012790
 43.61  39.61 0.016645
 43.61  39.71 0.021460
 43.61  39.81 0.027501
 43.61  39.91 0.034988
 43.61  40.01 0.043924
 43.61  40.11 0.053905
 43.61  40.21 0.063985
 43.61  40.31 0.072756
 43.61  40.41 0.078851
 43.61  40.51 0.081739
 43.61  40.61 0.082288
 43.61  40.71 0.082496
 43.61  40.81 0.084442
 43.61  40.91 0.089243
 43.61  41.01 0.096652
 43.61  41.11 0.105363
 43.61  41.21 0.113611
 43.61  41.31 0.119705
 43.61  41.41 0.122309
 43.61  41.51 0.120637
 43.61  41.61 0.114795
 43.61  41.71 0.106250
 43.61  41.81 0.097785
 43.61  41.91 0.092382
 43.61  42.01 0.091501
 43.61  42.11 0.094046
 43.61  42.21 0.096905
 43.61  42.31 0.096645
 43.61  42.41 0.091160
 43.61  42.51 0.080403
 43.61  42.61 0.066084
 43.61  42.71 0.050777
 43.61  42.81 0.036921
 43.61  42.91 0.026102
 43.61  43.01 0.018772
 43.61  43.11 0.014383
 43.61  43.21 0.011826
 43.61  43.31 0.009976
 43.61  43.41 0.008113
 43.61  43.51 0.006066
 43.71  39.01 0.004042
 43.71  39.11 0.005842
 43.71  39.21 0.008011
 43.71  39.31 0.010571
 43.71  39.41 0.013553
 43.71  39.51 0.017067
 43.71  39.61 0.021407
 43.71  39.71 0.027085
 43.71  39.81 0.034674
 43.71  39.91 0.044502
 43.71  40.01 0.056359
 43.71  40.11 0.069361
 43.71  40.21 0.082046
 43.71  40.31 0.092746
 43.71  40.41 0.100185
 43.71  40.51 0.104141
 43.71  40.61 0.105693
 43.71  40.71 0.106732
 43.71  40.81 0.108936
 43.71  40.91 0.112929
 43.71  41.01 0.118136
 43.71  41.11 0.123241
 43.71  41.21 0.126856
 43.71  41.31 0.128018
 43.71  41.41 0.126307
 43.71  41.51 0.121681
 43.71  41.61 0.114502
 43.71  41.71 0.105930
 43.71  41.81 0.098146
 43.71  41.91 0.093572
 43.71  42.01 0.093303
 43.71  42.11 0.096057
 43.71  42.21 0.098696
 43.71  42.31 0.097962
 43.71  42.41 0.092091
 43.71  42.51 0.081328
 43.71  42.61 0.067434
 43.71  42.71 0.052787
 43.71  42.81 0.039582
 43.71  42.91 0.029294
 43.71  43.01 0.022395
 43.71  43.11 0.018359
 43.71  43.21 0.016007
 43.71  43.31 0.014073
 43.71  43.41 0.011756
 43.71  43.51 0.008950
 43.71  43.61 0.006061
 43.81  39.01 0.005684
 43.81  39.11 0.008108
 43.81  39.21 0.010906
 43.81  39.31 0.014064
 43.81  39.41 0.017591
 43.81  39.51 0.021591
 43.81  39.61 0.026435
 43.81  39.71 0.032835
 43.81  39.81 0.041649
 43.81  39.91 0.053418
 43.81  40.01 0.067904
 43.81  40.11 0.083905
 43.81  40.21 0.099495
 43.81  40.31 0.112649
 43.81  40.41 0.122041
 43.81  40.51 0.127666
 43.81  40.61 0.130850
 43.81  40.71 0.133482
 43.81  40.81 0.136929
 43.81  40.91 0.141324
 43.81  41.01 0.145633
 43.81  41.11 0.148245
 43.81  41.21 0.147741
 43.81  41.31 0.143527
 43.81  41.41 0.136032
 43.81  41.51 0.126344
 43.81  41.61 0.115748
 43.81  41.71 0.105686
 43.81  41.81 0.097895
 43.81  41.91 0.093982
 43.81  42.01 0.094301
 43.81  42.11 0.097192
 43.81  42.21 0.099533
 43.81  42.31 0.098361
 43.81  42.41 0.092282
 43.81  42.51 0.081793
 43.81  42.61 0.068667
 43.81  42.71 0.055099
 43.81  42.81 0.043043
 43.81  42.91 0.033784
 43.81  43.01 0.027664
 43.81  43.11 0.024053
 43.81  43.21 0.021676
 43.81  43.31 0.019235
 43.81  43.41 0.016011
 43.81  43.51 0.012096
 43.81  43.61 0.008133
 43.81  43.71 0.004812
 43.91  39.01 0.006719
 43.91  39.11 0.009552
 43.91  39.21 0.012765
 43.91  39.31 0.016369
 43.91  39.41 0.020415
 43.91  39.51 0.025016
 43.91  39.61 0.030497
 43.91  39.71 0.037528
 43.91  39.81 0.047001
 43.91  39.91 0.059587
 43.91  40.01 0.075199
 43.91  40.11 0.092708
 43.91  40.21 0.110136
 43.91  40.31 0.125331
 43.91  40.41 0.136875
 43.91  40.51 0.144763
 43.91  40.61 0.150348
 43.91  40.71 0.155476
 43.91  40.81 0.161313
 43.91  40.91 0.167632
 43.91  41.01 0.172892
 43.91  41.11 0.174890
 43.91  41.21 0.171706
 43.91  41.31 0.162681
 43.91  41.41 0.148927
 43.91  41.51 0.132894
 43.91  41.61 0.117322
 43.91  41.71 0.104457
 43.91  41.81 0.095861
 43.91  41.91 0.092271
 43.91  42.01 0.093135
 43.91  42.11 0.096332
 43.91  42.21 0.098788
 43.91  42.31 0.097843
 43.91  42.41 0.092367
 43.91  42.51 0.082918
 43.91  42.61 0.071139
 43.91  42.71 0.059007
 43.91  42.81 0.048263
 43.91  42.91 0.040024
 43.91  43.01 0.034489
 43.91  43.11 0.030922
 43.91  43.21 0.028012
 43.91  43.31 0.024548
 43.91  43.41 0.020028
 43.91  43.51 0.014815
 43.91  43.61 0.009774
 43.91  43.71 0.005694
 43.91  43.81 0.002910
 44.01  39.01 0.006651
 44.01  39.11 0.009499
 44.01  39.21 0.012759
 44.01  39.31 0.016529
 44.01  39.41 0.020985
 44.01  39.51 0.026287
 44.01  39.61 0.032613
 44.01  39.71 0.040294
 44.01  39.81 0.049867
 44.01  39.91 0.061871
 44.01  40.01 0.076450
 44.01  40.11 0.092998
 44.01  40.21 0.110106
 44.01  40.31 0.125986
 44.01  40.41 0.139250
