# File: Hot_aq_density_v6.2.dat
# Creation time: 2023-04-17T17:23:48.000  +0200
#
# Based on marginalized debiasing from
# /home/petit/Research/OSSOS/data/Simulations/Bias-aq-i-H-v6.3-All_Surveys/Simulation-2023-04-14T16.30/All_Surveys_v12-free-cla_m.detections-full
#
# a_min = 40.0
# a_step = 0.1
# q_min = 34.5
# q_step = 0.1
#
# Bandwidth = 0.20
#
# Hcut =  8.7
#
#  a      q     dens
 40.01  34.51 0.000003
 40.01  34.61 0.000006
 40.01  34.71 0.000012
 40.01  34.81 0.000023
 40.01  34.91 0.000043
 40.01  35.01 0.000074
 40.01  35.11 0.000122
 40.01  35.21 0.000191
 40.01  35.31 0.000285
 40.01  35.41 0.000403
 40.01  35.51 0.000546
 40.01  35.61 0.000715
 40.01  35.71 0.000919
 40.01  35.81 0.001177
 40.01  35.91 0.001529
 40.01  36.01 0.002023
 40.01  36.11 0.002709
 40.01  36.21 0.003614
 40.01  36.31 0.004720
 40.01  36.41 0.005947
 40.01  36.51 0.007159
 40.01  36.61 0.008192
 40.01  36.71 0.008894
 40.01  36.81 0.009180
 40.01  36.91 0.009057
 40.01  37.01 0.008621
 40.01  37.11 0.008028
 40.01  37.21 0.007436
 40.01  37.31 0.006953
 40.01  37.41 0.006611
 40.01  37.51 0.006366
 40.01  37.61 0.006136
 40.01  37.71 0.005838
 40.01  37.81 0.005436
 40.01  37.91 0.004951
 40.01  38.01 0.004460
 40.01  38.11 0.004066
 40.01  38.21 0.003861
 40.01  38.31 0.003899
 40.01  38.41 0.004173
 40.01  38.51 0.004619
 40.01  38.61 0.005126
 40.01  38.71 0.005570
 40.01  38.81 0.005847
 40.01  38.91 0.005899
 40.01  39.01 0.005732
 40.01  39.11 0.005404
 40.01  39.21 0.005005
 40.01  39.31 0.004626
 40.01  39.41 0.004332
 40.01  39.51 0.004149
 40.01  39.61 0.004061
 40.01  39.71 0.004025
 40.01  39.81 0.003983
 40.01  39.91 0.003881
 40.11  34.51 0.000005
 40.11  34.61 0.000010
 40.11  34.71 0.000020
 40.11  34.81 0.000037
 40.11  34.91 0.000066
 40.11  35.01 0.000114
 40.11  35.11 0.000187
 40.11  35.21 0.000291
 40.11  35.31 0.000431
 40.11  35.41 0.000607
 40.11  35.51 0.000815
 40.11  35.61 0.001048
 40.11  35.71 0.001307
 40.11  35.81 0.001604
 40.11  35.91 0.001974
 40.11  36.01 0.002470
 40.11  36.11 0.003156
 40.11  36.21 0.004076
 40.11  36.31 0.005235
 40.11  36.41 0.006568
 40.11  36.51 0.007941
 40.11  36.61 0.009172
 40.11  36.71 0.010081
 40.11  36.81 0.010541
 40.11  36.91 0.010523
 40.11  37.01 0.010106
 40.11  37.11 0.009443
 40.11  37.21 0.008711
 40.11  37.31 0.008052
 40.11  37.41 0.007531
 40.11  37.51 0.007134
 40.11  37.61 0.006793
 40.11  37.71 0.006428
 40.11  37.81 0.005994
 40.11  37.91 0.005500
 40.11  38.01 0.005007
 40.11  38.11 0.004608
 40.11  38.21 0.004389
 40.11  38.31 0.004402
 40.11  38.41 0.004643
 40.11  38.51 0.005049
 40.11  38.61 0.005514
 40.11  38.71 0.005922
 40.11  38.81 0.006175
 40.11  38.91 0.006226
 40.11  39.01 0.006092
 40.11  39.11 0.005839
 40.11  39.21 0.005562
 40.11  39.31 0.005347
 40.11  39.41 0.005250
 40.11  39.51 0.005279
 40.11  39.61 0.005400
 40.11  39.71 0.005545
 40.11  39.81 0.005639
 40.11  39.91 0.005610
 40.11  40.01 0.005409
 40.21  34.51 0.000009
 40.21  34.61 0.000017
 40.21  34.71 0.000032
 40.21  34.81 0.000058
 40.21  34.91 0.000101
 40.21  35.01 0.000170
 40.21  35.11 0.000275
 40.21  35.21 0.000425
 40.21  35.31 0.000625
 40.21  35.41 0.000875
 40.21  35.51 0.001167
 40.21  35.61 0.001484
 40.21  35.71 0.001815
 40.21  35.81 0.002160
 40.21  35.91 0.002543
 40.21  36.01 0.003017
 40.21  36.11 0.003656
 40.21  36.21 0.004527
 40.21  36.31 0.005662
 40.21  36.41 0.007022
 40.21  36.51 0.008489
 40.21  36.61 0.009876
 40.21  36.71 0.010982
 40.21  36.81 0.011641
 40.21  36.91 0.011781
 40.21  37.01 0.011445
 40.21  37.11 0.010770
 40.21  37.21 0.009938
 40.21  37.31 0.009116
 40.21  37.41 0.008405
 40.21  37.51 0.007828
 40.21  37.61 0.007345
 40.21  37.71 0.006894
 40.21  37.81 0.006428
 40.21  37.91 0.005945
 40.21  38.01 0.005487
 40.21  38.11 0.005128
 40.21  38.21 0.004938
 40.21  38.31 0.004960
 40.21  38.41 0.005188
 40.21  38.51 0.005564
 40.21  38.61 0.005992
 40.21  38.71 0.006364
 40.21  38.81 0.006595
 40.21  38.91 0.006651
 40.21  39.01 0.006558
 40.21  39.11 0.006391
 40.21  39.21 0.006249
 40.21  39.31 0.006217
 40.21  39.41 0.006342
 40.21  39.51 0.006615
 40.21  39.61 0.006979
 40.21  39.71 0.007346
 40.21  39.81 0.007613
 40.21  39.91 0.007690
 40.21  40.01 0.007509
 40.21  40.11 0.007047
 40.31  34.51 0.000014
 40.31  34.61 0.000027
 40.31  34.71 0.000050
 40.31  34.81 0.000088
 40.31  34.91 0.000151
 40.31  35.01 0.000248
 40.31  35.11 0.000394
 40.31  35.21 0.000599
 40.31  35.31 0.000872
 40.31  35.41 0.001211
 40.31  35.51 0.001604
 40.31  35.61 0.002024
 40.31  35.71 0.002444
 40.31  35.81 0.002847
 40.31  35.91 0.003242
 40.31  36.01 0.003677
 40.31  36.11 0.004230
 40.31  36.21 0.004991
 40.31  36.31 0.006022
 40.31  36.41 0.007320
 40.31  36.51 0.008796
 40.31  36.61 0.010277
 40.31  36.71 0.011549
 40.31  36.81 0.012415
 40.31  36.91 0.012758
 40.31  37.01 0.012572
 40.31  37.11 0.011962
