# File: ModelUsed.dat
# Creation time: 2026-03-20T16:55:27.145  +0100
#
# Twotino population model.
# Version OSSOS 1.0, 2026-03-20
#
# Seed:  123476890
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Cold component:     1.700
# Hot component:    10.000
# f1:            0.200
# emin:          0.100
# emax:          0.450
# ecas:          0.275
# esas:          0.045
# emins:         0.070
# emaxs:         0.350
# fleading:      0.500
# fsym:          0.500
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
# hmin:          6.000
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  47.7614   0.2652  21.8941  15.5538 211.1884 129.5398   8.49 2453157.50000   57.3806 02:01   1
  47.7352   0.2604  34.9865 136.8401 351.3471 110.1117   8.08 2453157.50000   54.4450 02:01   4
  47.8872   0.2846  12.6402 165.8215  25.6974 326.8503   7.74 2453157.50000   38.1836 02:01   1
  47.7762   0.1101   1.3155 291.0277 185.0174  77.1422   7.30 2453157.50000   47.1724 02:01   3
  47.7735   0.2189   8.0325 241.0774 339.2527  25.0264   8.37 2453157.50000   38.8662 02:01   3
  47.7355   0.2922  12.9128 281.7960  96.6994 239.3855   8.35 2453157.50000   57.2280 02:01   1
  47.6941   0.2460  12.4119 263.8923 317.0416 149.8393   8.47 2453157.50000   58.3827 02:01   1
  47.7005   0.0881   3.1673  25.4534 332.9177  87.4648   8.15 2453157.50000   47.8846 02:01   1
  47.6908   0.2986  11.8915 314.9641 116.0679  44.2142   8.32 2453157.50000   40.3259 02:01   1
  47.7782   0.2516  22.7793 221.7510 132.9057  76.8987   8.16 2453157.50000   48.0536 02:01   1
  47.7094   0.0962  17.1897 169.9451  22.7881 334.7292   7.95 2453157.50000   43.6518 02:01   1
  47.6209   0.3057  22.6960  34.2224 276.9711 172.0997   8.17 2453157.50000   62.0959 02:01   4
  47.6482   0.2830   2.5819 147.9133 299.1578 289.2480   8.58 2453157.50000   46.9295 02:01   4
  47.5805   0.2823   2.2847 133.1851 214.7663 242.3836   7.51 2453157.50000   56.2165 02:01   0
  47.7731   0.2170   1.7970 241.6788 237.6861 130.5331   7.29 2453157.50000   55.5633 02:01   5
  47.7898   0.3317  10.2957 131.8491 323.3991 201.5393   8.40 2453157.50000   63.0080 02:01   1
