# File: ModelUsed.dat
# Creation time: 2026-03-02T14:45:58.052  +0100
#
# Detached population model.
# Version OSSOS 1.0, 2026-02-27
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 18.00
# Parameters for q distribution:    7 34.000
#                                  0.080 35.500
#                                  0.580 39.000
#                                  0.340 49.000
# Parameters for a distribution:   -3.00  48.00 250.00
#
# Hot H-dist. parameter:            8.30  0.32  0.40  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  52.1336   0.3031  21.5699 161.4437 181.4669  34.8904   7.33 2453157.50000   41.5077 detached_
  78.2213   0.5069   7.9257 117.0583 120.1203 292.2878   8.11 2453157.50000   82.7568 detached_
  58.3382   0.3587  40.6668 185.8569 180.2126 114.9185   7.87 2453157.50000   71.9378 detached_
  50.7039   0.3025  18.6549  54.2936  39.3101 147.2202   7.46 2453157.50000   64.5660 detached_
 106.5193   0.6389  16.6454 289.8051 244.8463 149.4165   8.07 2453157.50000  170.9490 detached_
  80.6826   0.5581  40.7258 189.0199 122.4498 324.3813   7.10 2453157.50000   61.2784 detached_
  49.1330   0.1702  18.7623 266.5930  83.5991 272.1791   8.28 2453157.50000   50.2225 detached_
  59.1949   0.3412  20.5068 259.2504 196.9433 229.7619   8.10 2453157.50000   75.1598 detached_
  85.6559   0.4919  27.6895 245.3217  63.1993 197.5421   8.03 2453157.50000  126.9020 detached_
  59.2578   0.3075  24.5240 328.2401 116.9805 223.8198   8.64 2453157.50000   74.3693 detached_
 165.7521   0.7579  25.5653  51.0013 278.9923 202.3482   8.49 2453157.50000  288.2711 detached_
  78.1194   0.4278  21.8846 214.4559 246.2428 122.1417   7.24 2453157.50000  103.1157 detached_
  52.8833   0.3102  48.5634  90.5612 273.7108 246.7434   7.32 2453157.50000   62.8420 detached_
  66.6126   0.4203  19.1331 339.6145  96.4185  64.9766   7.69 2453157.50000   66.1515 detached_
 125.1202   0.6797   9.1038 235.1471  81.0244  81.6955   8.39 2453157.50000  163.1157 detached_
  59.0434   0.2386  11.6504 207.9620 247.6510 202.9215   7.60 2453157.50000   72.3972 detached_
 116.5844   0.5863  30.4686 315.2469  24.4807  27.7182   8.52 2453157.50000   77.7252 detached_
  50.3392   0.2594  30.9601 338.1767 166.9353  54.5604   8.28 2453157.50000   45.5273 detached_
  57.8953   0.3516  26.7017  80.7736 126.3591 144.9798   8.02 2453157.50000   76.1686 detached_
  70.3263   0.3518  22.3833   2.8945 189.1893 105.8799   7.97 2453157.50000   83.7377 detached_
  80.4669   0.4279   5.7103 236.5458 327.4302 279.9891   8.48 2453157.50000   88.6889 detached_
 175.9083   0.8060  13.7286 303.8505 143.3048 279.1082   8.48 2453157.50000  248.1436 detached_
  99.3525   0.6234  31.9209 348.0706 324.0668  58.8724   7.77 2453157.50000  104.1944 detached_
  80.5848   0.4104  23.3834 284.5869   2.0227 211.2928   8.35 2453157.50000  111.1718 detached_
 143.6005   0.7515  25.8792  90.1214 281.0431 185.4316   6.88 2453157.50000  251.3555 detached_
  55.5957   0.3356  35.1392  21.5319 179.1493  34.7735   8.24 2453157.50000   43.4461 detached_
 199.1480   0.8067  28.2814 269.9387 333.6967  41.7735   8.25 2453157.50000  193.4473 detached_
  49.7786   0.2432   9.3883 164.7068  29.1952 300.2873   8.18 2453157.50000   46.2473 detached_
  51.1249   0.3081  34.3334 272.2957  37.1777 119.7022   8.18 2453157.50000   61.8017 detached_
  60.0030   0.2789  30.8133  47.8075   3.5823  39.6628   8.12 2453157.50000   49.7704 detached_
 159.0020   0.7112  10.4506 274.1921  20.3050  20.0336   8.15 2453157.50000   89.7810 detached_
  93.7984   0.5897  42.6356  83.7627 256.4218 110.1963   7.85 2453157.50000  132.4717 detached_
  78.6901   0.5158  30.3180 100.3446 270.2013 252.6134   8.13 2453157.50000  104.7900 detached_
  66.1345   0.3293  21.6068 329.8468 318.1019 139.9946   8.41 2453157.50000   84.9097 detached_
  50.7064   0.2040  24.0574 230.8229  68.8101 253.3701   8.25 2453157.50000   55.4101 detached_
  67.1640   0.4430  13.6760 305.6704  34.6548 197.4143   8.08 2453157.50000   96.2543 detached_
  50.3460   0.2901  39.1562 198.9625 279.1594 202.6323   8.62 2453157.50000   64.2653 detached_
  53.2559   0.1505  10.4417 211.6785 180.9671  92.4337   8.28 2453157.50000   54.7725 detached_
  69.6270   0.5055  35.9353 344.9964 266.8673  84.6918   8.61 2453157.50000   82.5942 detached_
  48.6824   0.0949  31.5008 323.1692 139.2857 246.3101   8.45 2453157.50000   50.8841 detached_
  55.1597   0.1308   4.0304  79.9352 174.3721 277.8802   8.37 2453157.50000   55.1109 detached_
  68.6585   0.4826  23.5996  62.8940 178.3753  53.3848   6.88 2453157.50000   63.2867 detached_
  49.2450   0.0751  18.5099 229.8677 321.9646 241.4647   7.77 2453157.50000   51.2141 detached_
 100.6830   0.5377  35.3281 155.3237 195.2499 111.7865   7.71 2453157.50000  138.2652 detached_
  54.7628   0.3180  11.1460   1.4275 355.5679  46.5867   8.29 2453157.50000   46.8003 detached_
  48.0875   0.1828  21.7500 324.9716 287.3815  80.4651   7.64 2453157.50000   48.2310 detached_
  80.8929   0.5792  33.3929 245.8626 266.7593 250.1513   8.44 2453157.50000  113.3216 detached_
  56.3207   0.3218  14.9688 282.9743 188.9778 100.6835   5.43 2453157.50000   64.5769 detached_
  48.0731   0.1894  36.6453 177.8333 100.2142 175.1417   8.48 2453157.50000   57.1557 detached_
  90.9524   0.5124  12.7447  62.4501  66.3268  18.5854   8.05 2453157.50000   53.1209 detached_
  49.5340   0.2217  26.8396 156.9749 164.0893 328.0986   8.16 2453157.50000   41.1301 detached_
  59.3262   0.2884  34.0695 345.6851 128.9626 190.3337   8.09 2453157.50000   76.2674 detached_
 235.4697   0.8396  11.4900 203.4984 298.7031  60.7390   7.64 2453157.50000  292.5833 detached_
  85.5883   0.5897  21.2430 340.4021   2.8988 145.1412   8.30 2453157.50000  132.3377 detached_
  51.7446   0.2762  41.2627  95.9094 300.9038 270.2548   6.48 2453157.50000   55.4493 detached_
