# File: ModelUsed.dat
# Creation time: 2026-03-06T10:56:42.866  +0100
#
# Plutino population model.
# Version OSSOS 1.0, 2026-03-04
#
# Seed:  123476996
#
# Epoch: 2456505.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# p1deg:         2.000
# p2deg:         7.500
# ew:            0.060
# ecent:         0.190
# libampmin:    10.000
# libampc:      50.000
# libampmax:   120.000
# libamptail:  160.000
# libamplow:     0.140
# libampmid:     0.760
# capomfrac:     0.480
#
# Hot H-dist. parameter:           12.00  1.00  0.40  8.66
# hmin:          6.000
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  39.3521   0.2717  18.2488 150.7485 169.4706 247.2124   7.78 2456505.50000   45.5547 03:02__89
  39.4664   0.1342   6.3689  72.7914 110.9108 259.4989   8.52 2456505.50000   41.0869 03:02_213
  39.4370   0.0459  10.8328  36.3546 354.6191 116.9003   8.07 2456505.50000   40.3206 03:02_200
  39.6194   0.1819   2.4548 191.5055 271.8275 105.2469   8.21 2456505.50000   42.6317 03:02_309
  39.4479   0.2771  32.1190 198.9253  91.9991 179.0102   7.65 2456505.50000   50.3772 03:02_185
  39.5505   0.2923   9.3375 179.1778 208.9520 248.5035   8.45 2456505.50000   46.2131 03:02_228
  39.5832   0.1743  49.1501 146.5500  16.9418 252.1362   8.48 2456505.50000   42.6923 03:02_150
  39.2898   0.1682  27.0410  95.9077 330.1193 114.6766   8.22 2456505.50000   42.8683 03:02_263
  39.4597   0.3507  12.3532 101.0581 132.4734 310.5335   8.54 2456505.50000   34.3007 03:02_106
  39.3729   0.1495  31.2540 119.3428  95.7654 338.3950   8.50 2456505.50000   34.0505 03:02_152
  39.3303   0.2342   7.9046 270.6147 214.0807  56.2661   6.89 2456505.50000   35.9954 03:02_205
  39.2828   0.2291  16.5556  78.5838 222.5778 317.4044   8.23 2456505.50000   33.8786 03:02_262
  39.5711   0.2058  34.1584  49.1747  59.6481  70.8154   8.55 2456505.50000   38.5090 03:02_218
  39.3290   0.0831  15.7634 306.3063 277.9276 211.6288   8.63 2456505.50000   42.1775 03:02_150
  39.4458   0.1171  20.7967 355.3335 108.9397 213.8223   8.33 2456505.50000   43.4302 03:02_277
  39.4923   0.1884   9.4895  59.2801 199.5884 352.4584   8.37 2456505.50000   32.1508 03:02_282
  39.4120   0.2110  21.9341 170.5332 262.3443 106.1739   7.47 2456505.50000   43.1810 03:02_251
  39.5597   0.2078  33.7082  74.8368 212.1660 161.0772   8.00 2456505.50000   47.4728 03:02_125
  39.3651   0.0879   6.4801 180.0367 205.7594  29.8022   8.37 2456505.50000   36.4479 03:02_288
  39.5235   0.1376  16.8919 268.3751  16.6937  77.2635   8.16 2456505.50000   39.0608 03:02_228
  39.3202   0.1957  14.8848 258.5925  83.4440  48.1918   7.81 2456505.50000   35.2042 03:02_255
  39.4043   0.1553  17.5850 272.0737 186.4776 190.0525   8.40 2456505.50000   45.4530 03:02_194
  39.4814   0.1092   6.1628  90.2078 230.7699  63.6854   8.13 2456505.50000   37.9749 03:02_260
  39.4974   0.3056  14.8925 285.2090 240.5179 145.8635   8.50 2456505.50000   50.3143 03:02_196
  39.3905   0.2874  18.1588  98.4379  67.4931 284.1225   6.85 2456505.50000   39.8514 03:02_251
  39.4391   0.2223  15.5347  64.8268  79.3551  20.7290   8.59 2456505.50000   31.5864 03:02_138
  39.2700   0.0960  16.1566  18.4997 105.9735  72.0163   7.68 2456505.50000   38.4465 03:02_252
  39.4820   0.2393  12.6256 245.4581 208.9054 329.8640   7.75 2456505.50000   32.1092 03:02_245
  39.5109   0.1422   6.9418  55.2688 185.7690 225.8735   6.44 2456505.50000   43.7776 03:02_227
  39.5948   0.2106  16.7569 279.0636 221.1331  20.4774   8.55 2456505.50000   32.0829 03:02_128
  39.3289   0.1420  39.8088  32.0704  83.4893 162.3579   8.02 2456505.50000   44.7094 03:02_146
  39.2079   0.1681   4.2948 139.8926 277.1088 351.8216   8.13 2456505.50000   32.7144 03:02_236
  39.5231   0.2545  11.1637  54.8187 157.1612 337.6448   8.45 2456505.50000   30.7734 03:02_144
  39.4786   0.1955   8.8745  79.1924 175.1165 207.1082   7.03 2456505.50000   46.5967 03:02_197
  39.2912   0.1946  32.0174  77.4834 339.4126 228.3487   8.55 2456505.50000   45.0579 03:02_226
  39.3818   0.3469  15.1514  52.9387  17.4831 112.4301   8.51 2456505.50000   47.8085 03:02_265
  39.2971   0.2512  37.9315   3.9883 351.5500  27.3407   7.93 2456505.50000   31.2855 03:02_221
  39.4722   0.1263  35.6502 172.8668 263.9999 307.2714   8.60 2456505.50000   36.8988 03:02_142
  39.2549   0.2122   6.1226 245.4303 191.3874  54.1386   8.17 2456505.50000   35.7571 03:02_103
  39.4358   0.1950   8.8195  96.7496 295.4466 230.8136   7.76 2456505.50000   45.0443 03:02_184
  39.4204   0.1578   4.9451 157.5254 114.9453 200.1755   6.89 2456505.50000   45.3548 03:02_212
  39.5990   0.1501  34.8447 337.4100  12.8394  25.9060   8.16 2456505.50000   34.4648 03:02_205
  39.3780   0.1336  10.8246 261.8571  33.1468 185.6991   8.18 2456505.50000   44.6171 03:02_214
  39.5884   0.1661   6.3905  87.1258 212.7944 180.5281   8.48 2456505.50000   46.1620 03:02_208
  39.2207   0.1845  11.6813 275.8552 113.3139  29.5353   8.55 2456505.50000   33.3451 03:02_294
  39.4722   0.1513   1.0939 176.6700 170.0799 244.4702   7.94 2456505.50000   42.7093 03:02_134
  39.2977   0.2200   7.0614 154.0188 260.3992 120.6524   8.27 2456505.50000   44.8847 03:02_258
  39.2401   0.1349  12.8772 357.2034 183.9101 100.7909   8.17 2456505.50000   40.8873 03:02__92
  39.4495   0.1015   6.9268 302.8223 179.9332 285.6648   8.62 2456505.50000   38.7584 03:02_169
  39.3831   0.2593   4.4349  43.9083 355.9699 353.3466   8.56 2456505.50000   29.2959 03:02_207
  39.2984   0.2141  11.5059 154.2738 205.6987 236.3651   8.44 2456505.50000   45.0009 03:02_136
  39.2379   0.1032   7.5732 310.7518 105.5358 194.9465   8.61 2456505.50000   43.1745 03:02_124
  39.4606   0.2491   2.5781  86.6289 238.7364 172.4054   8.52 2456505.50000   49.2338 03:02_235
  39.2971   0.2239   2.1646  37.1599  20.6625 196.4520   8.34 2456505.50000   47.8520 03:02_132
