# File: ModelUsed.dat
# Creation time: 2026-03-03T17:18:23.530  +0100
#
# Scatering population model.
# Version OSSOS 1.0, 2026-02-02
#
# Seed:  123476990
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 19.00
# Parameters for a distribution:   30.00 700.00   0.90
# Parameters for q distribution:    0.04   0.20   2.50
#
# Hot H-dist. parameter:            8.30  0.32  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 124.9271   0.7147  31.6123 118.8375 191.2552  35.1341   8.28 2453157.50000  101.2417 scatterin
 456.7762   0.9090  44.1484 251.2994 198.6463 199.2109   7.89 2453157.50000  865.5553 scatterin
  96.7191   0.6212  21.4562 239.0333 118.2492 268.4200   8.61 2453157.50000  128.4013 scatterin
  50.2467   0.3310  26.0701 114.5103  39.1570 289.5242   8.12 2453157.50000   50.0840 scatterin
 239.9634   0.8891  16.5504 331.8905 328.5045 156.5859   6.58 2453157.50000  448.3075 scatterin
 398.1855   0.9384  21.4371 319.6742  73.7973 340.4409   5.95 2453157.50000  271.1253 scatterin
 694.7821   0.9297  21.2207 235.0981 287.6591 322.7151   8.24 2453157.50000  700.9904 scatterin
 364.9164   0.8823  10.6498 332.4659 251.9546  49.0652   8.50 2453157.50000  415.2728 scatterin
 551.8544   0.9155  13.5679 286.2149 205.8532 235.8652   7.98 2453157.50000  990.3010 scatterin
 552.0607   0.9164  19.7066 359.1331  11.9125 162.0116   7.92 2453157.50000 1051.1457 scatterin
 320.3807   0.8676   5.7909 346.0211 191.2786  61.7033   8.45 2453157.50000  409.8219 scatterin
 173.0183   0.7702  19.3133 212.4288 192.8497 324.9743   7.55 2453157.50000  145.8305 scatterin
 423.2175   0.8945  18.9456 169.9702   0.6065  62.8854   8.42 2453157.50000  557.6512 scatterin
 235.8362   0.8359  22.3608 280.9877 318.0059  56.0465   7.17 2453157.50000  279.3736 scatterin
 161.1921   0.7535  23.5203  82.9594 166.1518 113.0527   7.17 2453157.50000  254.9216 scatterin
 262.9785   0.8451  50.5067  80.5969 271.0285 354.2908   8.65 2453157.50000   69.9280 scatterin
 423.4815   0.9058  16.3032 137.2181  36.8926 247.1776   7.33 2453157.50000  732.2599 scatterin
 176.6672   0.7842  15.5569 140.3909 344.0699 128.7248   7.99 2453157.50000  297.4939 scatterin
 553.7830   0.9184  24.0281  75.2108  70.7406  93.0321   7.60 2453157.50000  894.6460 scatterin
 655.1296   0.9276  14.0126 184.4887 232.6597 168.5494   8.25 2453157.50000 1259.5891 scatterin
 481.7942   0.9153   8.3684 255.9466 336.7031 319.9927   8.58 2453157.50000  500.3010 scatterin
 259.0331   0.8444  30.9568 207.6104 230.6824 355.1902   8.25 2453157.50000   62.5719 scatterin
  48.9223   0.3338  37.1045  34.7324  24.9796 253.0122   8.65 2453157.50000   57.8212 scatterin
 290.9047   0.8692  21.1235 275.5607 309.1239 248.0971   7.55 2453157.50000  491.0608 scatterin
 601.3005   0.9266  12.9655 279.1130 336.4173 206.3917   8.27 2453157.50000 1142.4841 scatterin
 192.0215   0.7974  20.0854 343.1102 177.2023 292.9498   6.84 2453157.50000  244.3568 scatterin
 556.6723   0.9209  24.3332  60.6193 261.9976 258.3661   8.01 2453157.50000  933.8533 scatterin
 145.6453   0.7537  59.8975 205.7843  76.0573 356.9796   7.85 2453157.50000   38.2679 scatterin
 558.5675   0.9262  17.0912 211.0538 155.8551 115.3735   7.31 2453157.50000  984.6990 scatterin
 678.0198   0.9337  38.1628 172.5571 162.7782 202.9983   8.02 2453157.50000 1297.4181 scatterin
 298.6610   0.9048  14.3314   3.7130 248.9464  22.7386   8.15 2453157.50000  215.4288 scatterin
  62.3576   0.4688  12.7143 351.2797 113.4973 259.0335   8.22 2453157.50000   78.4447 scatterin
  55.0712   0.3824  17.9000 356.6851 249.3273 287.6357   8.05 2453157.50000   56.6197 scatterin
 295.7430   0.9266  20.6889 242.7125 198.8273  78.8621   7.50 2453157.50000  446.0199 scatterin
 517.9005   0.9107  17.8882 256.3236 177.9837 196.1429   8.39 2453157.50000  984.3909 scatterin
 495.7990   0.9098  25.8427 235.7972 219.5835 107.7622   7.55 2453157.50000  845.0906 scatterin
 351.4915   0.8794  16.0269 246.0750 300.2895 275.4360   8.49 2453157.50000  531.2177 scatterin
 603.4055   0.9273  13.3299 332.5994  49.7231 231.3860   7.95 2453157.50000 1101.2876 scatterin
 480.4888   0.9055   6.9527 120.4638 154.2010 303.1701   8.63 2453157.50000  604.4941 scatterin
 665.3233   0.9289  17.0607 357.4094 128.8912  66.9867   7.30 2453157.50000  928.0683 scatterin
